id,user_id,product_id,interaction_type,session_id,metadata,created_at
9044a0ff-3a34-479d-b60a-7a5939637a95,7dba91f3-cb5a-40ce-9269-30acbde046f1,a72d121a-7487-438d-b961-cbbf19626135,search_click,51507fb7a4f444a59ffb1620de31651e,"{""query"": ""Oxford Button-Down Shirt classic luxury"", ""rank"": 1, ""device"": ""desktop""}",2025-09-03 16:08:54.756240+00
68f5bf45-e5aa-4a53-ab55-86e0e138b32d,7dba91f3-cb5a-40ce-9269-30acbde046f1,a72d121a-7487-438d-b961-cbbf19626135,view,51507fb7a4f444a59ffb1620de31651e,"{""referrer"": ""search"", ""dwell_sec"": 16}",2025-09-03 16:09:00.756240+00
d0ab485f-800c-422c-9571-7bfb0af6b4c9,7dba91f3-cb5a-40ce-9269-30acbde046f1,80bf27c4-ceeb-45bb-b9d0-3696000167be,search_click,51507fb7a4f444a59ffb1620de31651e,"{""query"": ""Oxford Button-Down Shirt classic luxury"", ""rank"": 2, ""device"": ""mobile""}",2025-09-03 16:09:29.756240+00
dde3315b-41a4-4a1b-87db-062aa0aeab01,7dba91f3-cb5a-40ce-9269-30acbde046f1,80bf27c4-ceeb-45bb-b9d0-3696000167be,view,51507fb7a4f444a59ffb1620de31651e,"{""referrer"": ""search"", ""dwell_sec"": 49}",2025-09-03 16:09:43.756240+00
f87b517a-2f18-4c25-8607-2f33385b6b79,7dba91f3-cb5a-40ce-9269-30acbde046f1,a72d121a-7487-438d-b961-cbbf19626135,search_click,51507fb7a4f444a59ffb1620de31651e,"{""query"": ""Oxford Button-Down Shirt classic luxury"", ""rank"": 3, ""device"": ""desktop""}",2025-09-03 16:10:26.756240+00
94ab0972-272e-4170-bb6b-e1f8307e72f2,7dba91f3-cb5a-40ce-9269-30acbde046f1,a72d121a-7487-438d-b961-cbbf19626135,view,51507fb7a4f444a59ffb1620de31651e,"{""referrer"": ""search"", ""dwell_sec"": 63}",2025-09-03 16:10:30.756240+00
8940c120-f11c-4e2e-9985-f0b8973e4bb9,7dba91f3-cb5a-40ce-9269-30acbde046f1,80bf27c4-ceeb-45bb-b9d0-3696000167be,wishlist_add,51507fb7a4f444a59ffb1620de31651e,{},2025-09-03 16:11:09.756240+00
6473e546-949c-4384-a85a-7de95b342c19,7dba91f3-cb5a-40ce-9269-30acbde046f1,a72d121a-7487-438d-b961-cbbf19626135,add_to_cart,51507fb7a4f444a59ffb1620de31651e,"{""variant_id"": ""09edce58-18d8-457d-8769-c9ef1763fbfd"", ""quantity"": 1}",2025-09-03 16:11:19.756240+00
5d29463a-bdcb-4434-9d75-36ed43eda3c2,7dba91f3-cb5a-40ce-9269-30acbde046f1,d9fd706a-05fe-4cbf-aa17-ef87fba1bb1b,search_click,95719bbb5d53414089b887a48453b90a,"{""query"": ""cozy winter streetwear"", ""rank"": 1, ""device"": ""mobile""}",2025-08-17 01:46:54.756240+00
4101056a-bc71-4047-be95-b022e9640154,7dba91f3-cb5a-40ce-9269-30acbde046f1,d9fd706a-05fe-4cbf-aa17-ef87fba1bb1b,view,95719bbb5d53414089b887a48453b90a,"{""referrer"": ""search"", ""dwell_sec"": 9}",2025-08-17 01:47:04.756240+00
