id,name,slug,description,short_description,price,compare_at_price,cost_price,category_id,images,is_featured,is_active,inventory_quantity,sku,weight,tags,search_keywords,created_at,updated_at
100a25a8-1074-4082-bf3e-619e6bf0ed06,Oxford Button-Down Shirt,oxford-button-down-shirt,"Men’s oxford shirt on mannequin, white seamless background, front view, natural collar roll, crisp lighting",Classic cotton oxford shirt,89.00,,0.00,5e0965c4-4360-4ae8-be77-3a4c07773a3f,"[""https://ewebogkmqavqoxloyefq.supabase.co/storage/v1/object/public/product-images/products/oxford-button-down-shirt/oxford-button-down-shirt.png"",""https://ewebogkmqavqoxloyefq.supabase.co/storage/v1/object/public/product-images/products/oxford-button-down-shirt/oxford-button-down-shirt_onfigure.png""]",false,true,38,M-SRT-OX-009,,"[""classic"",""office"",""casual"",""breathable""]","[""Oxford Button-Down Shirt"",""classic"",""office"",""casual"",""breathable""]",2025-10-11 11:54:01.090122+00,2025-10-11 11:54:01.090122+00
1323fd17-1e4c-4b33-a1a9-6d1ef29bbb23,High-Rise Straight Jeans,high-rise-straight-jeans,"Flat lay or on-figure jeans, clean white background, overhead softbox, crisp stitching details, true-to-color denim",Classic straight-leg high-rise denim,129.00,159.00,0.00,6b1dfa1b-fab5-430f-be0c-1371ab8ec144,"[""https://ewebogkmqavqoxloyefq.supabase.co/storage/v1/object/public/product-images/products/high-rise-straight-jeans/high-rise-straight-jeans.png"",""https://ewebogkmqavqoxloyefq.supabase.co/storage/v1/object/public/product-images/products/high-rise-straight-jeans/high-rise-straight-jeans_onfigure.png""]",false,true,35,W-DNM-HR-003,,"[""denim"",""casual"",""everyday"",""classic""]","[""High-Rise Straight Jeans"",""denim"",""casual"",""everyday"",""classic""]",2025-10-11 11:53:52.302694+00,2025-10-11 11:53:52.302694+00
1d19f678-f760-4786-9b01-1fb8917f0220,Polarized Sunglasses,polarized-sunglasses,"Sunglasses on acrylic riser over white seamless, soft shadow, lens reflections controlled",UV400 polarized acetate frames,149.00,,0.00,ebbb5784-413a-4116-9602-932c72ae68e7,"[""https://ewebogkmqavqoxloyefq.supabase.co/storage/v1/object/public/product-images/products/polarized-sunglasses/polarized-sunglasses.png"",""https://ewebogkmqavqoxloyefq.supabase.co/storage/v1/object/public/product-images/products/polarized-sunglasses/polarized-sunglasses_variant.png""]",true,true,19,A-SUN-PL-022,,"[""sunglasses"",""polarized"",""summer"",""travel""]","[""Polarized Sunglasses"",""sunglasses"",""polarized"",""summer"",""travel""]",2025-10-11 11:54:17.706364+00,2025-10-11 11:54:17.706364+00
274fb507-6d75-46b0-87f5-8d873644c52c,Linen Summer Blazer,linen-summer-blazer,"Women’s linen blazer on mannequin, bright studio lighting, white seamless, subtle texture visible, 3/4 view",Lightweight breathable linen blazer,249.00,,0.00,6b1dfa1b-fab5-430f-be0c-1371ab8ec144,"[""https://ewebogkmqavqoxloyefq.supabase.co/storage/v1/object/public/product-images/products/linen-summer-blazer/linen-summer-blazer.png"",""https://ewebogkmqavqoxloyefq.supabase.co/storage/v1/object/public/product-images/products/linen-summer-blazer/linen-summer-blazer_onfigure.png""]",true,true,18,W-BLZ-LN-004,,"[""linen"",""summer"",""breathable"",""workwear"",""casual""]","[""Linen Summer Blazer"",""linen"",""summer"",""breathable"",""workwear"",""casual""]",2025-10-11 11:53:53.841155+00,2025-10-11 11:53:53.841155+00
45e64d53-de11-4614-8e1b-3b16aac95357,Pleated Midi Skirt,pleated-midi-skirt,"Women’s pleated skirt on mannequin, studio lighting, white seamless, movement-friendly pose, 3/4 angle",Flowy pleated mid-length skirt,159.00,,0.00,6b1dfa1b-fab5-430f-be0c-1371ab8ec144,"[""https://ewebogkmqavqoxloyefq.supabase.co/storage/v1/object/public/product-images/products/pleated-midi-skirt/pleated-midi-skirt.png"",""https://ewebogkmqavqoxloyefq.supabase.co/storage/v1/object/public/product-images/products/pleated-midi-skirt/pleated-midi-skirt_onfigure.png""]",false,true,26,W-SKT-PL-006,,"[""pleated"",""midi"",""elegant"",""formal"",""office""]","[""Pleated Midi Skirt"",""pleated"",""midi"",""elegant"",""formal"",""office""]",2025-10-11 11:53:56.734471+00,2025-10-11 11:53:56.734471+00
4b118e6e-16fe-4b89-b29c-17edd6303d62,Pima Cotton T-Shirt 2-Pack,pima-cotton-tshirt-2-pack,"Flat lay men’s tees 2-pack, white seamless, top-down soft light, true colors",2-pack ultra-soft tees,45.00,,0.00,5e0965c4-4360-4ae8-be77-3a4c07773a3f,"[""https://ewebogkmqavqoxloyefq.supabase.co/storage/v1/object/public/product-images/products/pima-cotton-tshirt-2-pack/pima-cotton-tshirt-2-pack.png"",""https://ewebogkmqavqoxloyefq.supabase.co/storage/v1/object/public/product-images/products/pima-cotton-tshirt-2-pack/pima-cotton-tshirt-2-pack_onfigure.png""]",false,true,55,M-TEE-PM-014,,"[""pima"",""casual"",""essentials"",""everyday""]","[""Pima Cotton T-Shirt 2-Pack"",""pima"",""casual"",""essentials"",""everyday""]",2025-10-11 11:54:09.382915+00,2025-10-11 11:54:09.382915+00
4f37e0ee-e916-47ea-affc-4d01665bb2db,Tailored Navy Blazer,tailored-navy-blazer,"Men’s navy blazer on mannequin, white seamless, 3/4 angle, lapels crisp, studio light",Structured wool-blend blazer,349.00,,0.00,5e0965c4-4360-4ae8-be77-3a4c07773a3f,"[""https://ewebogkmqavqoxloyefq.supabase.co/storage/v1/object/public/product-images/products/tailored-navy-blazer/tailored-navy-blazer.png"",""https://ewebogkmqavqoxloyefq.supabase.co/storage/v1/object/public/product-images/products/tailored-navy-blazer/tailored-navy-blazer_onfigure.png""]",true,true,12,M-BLZ-NV-016,,"[""workwear"",""classic"",""formal"",""office""]","[""Tailored Navy Blazer"",""workwear"",""classic"",""formal"",""office""]",2025-10-11 11:54:11.970129+00,2025-10-11 11:54:11.970129+00
58bce0b5-fe59-44c4-a5e4-0242444215bf,Organic Cotton Tee Pack,organic-cotton-tee-pack,"Flat lay of two women’s tees, white seamless, soft top lighting, wrinkle-free, color-true",2-pack organic cotton tees,49.00,,0.00,6b1dfa1b-fab5-430f-be0c-1371ab8ec144,"[""https://ewebogkmqavqoxloyefq.supabase.co/storage/v1/object/public/product-images/products/organic-cotton-tee-pack/organic-cotton-tee-pack.png"",""https://ewebogkmqavqoxloyefq.supabase.co/storage/v1/object/public/product-images/products/organic-cotton-tee-pack/organic-cotton-tee-pack_onfigure.png""]",false,true,44,W-TEE-OC-008,,"[""organic-cotton"",""casual"",""essentials"",""sustainable"",""eco-friendly""]","[""Organic Cotton Tee Pack"",""organic-cotton"",""casual"",""essentials"",""sustainable"",""eco-friendly""]",2025-10-11 11:53:59.402579+00,2025-10-11 11:53:59.402579+00
5adb709a-3442-4a19-88f1-9ad37b4012bd,Wool Beanie,wool-beanie,"Beanie on white seamless, side angle, soft lighting to show rib texture, neat silhouette",Rib-knit wool beanie,39.00,,0.00,ebbb5784-413a-4116-9602-932c72ae68e7,"[""https://ewebogkmqavqoxloyefq.supabase.co/storage/v1/object/public/product-images/products/wool-beanie/wool-beanie.png"",""https://ewebogkmqavqoxloyefq.supabase.co/storage/v1/object/public/product-images/products/wool-beanie/wool-beanie_variant.png""]",false,true,48,A-BEN-WL-023,,"[""wool"",""winter"",""cozy"",""casual"",""gift""]","[""Wool Beanie"",""wool"",""winter"",""cozy"",""casual"",""gift""]",2025-10-11 11:54:18.531035+00,2025-10-11 11:54:18.531035+00
60a51ad1-ba52-43e5-9218-54e27ca857e0,Tailored Wool Coat,tailored-wool-coat,"On-figure women’s wool coat, studio, soft shadow, neutral gray seamless, full length, editorial e-commerce style, color-accurate",Double-breasted Italian wool coat,549.00,699.00,0.00,6b1dfa1b-fab5-430f-be0c-1371ab8ec144,"[""https://ewebogkmqavqoxloyefq.supabase.co/storage/v1/object/public/product-images/products/tailored-wool-coat/tailored-wool-coat.png"",""https://ewebogkmqavqoxloyefq.supabase.co/storage/v1/object/public/product-images/products/tailored-wool-coat/tailored-wool-coat_onfigure.png""]",false,true,10,W-CT-WL-002,,"[""wool"",""outerwear"",""winter"",""classic"",""luxury""]","[""Tailored Wool Coat"",""wool"",""outerwear"",""winter"",""classic"",""luxury""]",2025-10-11 11:53:50.886737+00,2025-10-11 11:53:50.886737+00
6d056ecb-5e47-44bb-b9ef-d33e87f98d96,Crossbody Camera Bag,crossbody-camera-bag,"Crossbody bag on white seamless, 3/4 angle, strap visible, soft light, clean styling",Compact crossbody with adjustable strap,199.00,,0.00,ebbb5784-413a-4116-9602-932c72ae68e7,"[""https://ewebogkmqavqoxloyefq.supabase.co/storage/v1/object/public/product-images/products/crossbody-camera-bag/crossbody-camera-bag.png"",""https://ewebogkmqavqoxloyefq.supabase.co/storage/v1/object/public/product-images/products/crossbody-camera-bag/crossbody-camera-bag_variant.png""]",false,true,27,A-BAG-CB-018,,"[""crossbody"",""travel"",""daily"",""minimalist""]","[""Crossbody Camera Bag"",""crossbody"",""travel"",""daily"",""minimalist""]",2025-10-11 11:54:14.002713+00,2025-10-11 11:54:14.002713+00
783a36aa-334d-4e88-88cf-65b04f6a0fc3,Tech Stretch Chinos,tech-stretch-chinos,"Men’s chinos on mannequin, studio lighting, white seamless, clean front crease, 3/4 angle",Performance stretch chinos,119.00,,0.00,5e0965c4-4360-4ae8-be77-3a4c07773a3f,"[""https://ewebogkmqavqoxloyefq.supabase.co/storage/v1/object/public/product-images/products/tech-stretch-chinos/tech-stretch-chinos.png"",""https://ewebogkmqavqoxloyefq.supabase.co/storage/v1/object/public/product-images/products/tech-stretch-chinos/tech-stretch-chinos_onfigure.png""]",false,true,42,M-PNT-TC-012,,"[""tech"",""casual"",""workwear"",""travel"",""breathable""]","[""Tech Stretch Chinos"",""tech"",""casual"",""workwear"",""travel"",""breathable""]",2025-10-11 11:54:06.679373+00,2025-10-11 11:54:06.679373+00
7a199e8b-b8e1-46d2-beb8-99ba92f52dcd,Merino Crewneck Sweater,merino-crewneck-sweater,"Folded men’s merino sweater, white seamless, soft diffused light highlighting knit texture",Lightweight merino wool knit,149.00,,0.00,5e0965c4-4360-4ae8-be77-3a4c07773a3f,"[""https://ewebogkmqavqoxloyefq.supabase.co/storage/v1/object/public/product-images/products/merino-crewneck-sweater/merino-crewneck-sweater.png"",""https://ewebogkmqavqoxloyefq.supabase.co/storage/v1/object/public/product-images/products/merino-crewneck-sweater/merino-crewneck-sweater_onfigure.png""]",false,true,30,M-SWT-MR-011,,"[""merino"",""winter"",""layering"",""classic""]","[""Merino Crewneck Sweater"",""merino"",""winter"",""layering"",""classic""]",2025-10-11 11:54:05.286229+00,2025-10-11 11:54:05.286229+00
80bf27c4-ceeb-45bb-b9d0-3696000167be,Silk Slip Dress,silk-slip-dress,"Studio fashion e-commerce photo of a women’s silk slip dress on mannequin, soft diffused lighting, clean white seamless background, 3/4 angle, high detail, no face, product centered",Bias-cut silk slip with adjustable straps,299.00,399.00,0.00,6b1dfa1b-fab5-430f-be0c-1371ab8ec144,"[""https://ewebogkmqavqoxloyefq.supabase.co/storage/v1/object/public/product-images/products/silk-slip-dress/silk-slip-dress.png"",""https://ewebogkmqavqoxloyefq.supabase.co/storage/v1/object/public/product-images/products/silk-slip-dress/silk-slip-dress_onfigure.png""]",true,true,22,W-DRS-SS-001,,"[""silk"",""evening"",""minimalist"",""luxury"",""formal"",""summer"",""sale""]","[""Silk Slip Dress"",""silk"",""evening"",""minimalist"",""luxury"",""formal"",""summer"",""sale""]",2025-10-11 11:53:49.505546+00,2025-10-11 11:53:49.505546+00
8b635074-268f-466c-949e-aaaf0b143834,Cashmere Turtleneck Sweater,cashmere-turtleneck-sweater,"Close-up studio product of cashmere sweater folded, white seamless, soft light showing texture, color accurate",Ultra-soft cashmere turtleneck,279.00,329.00,0.00,6b1dfa1b-fab5-430f-be0c-1371ab8ec144,"[""https://ewebogkmqavqoxloyefq.supabase.co/storage/v1/object/public/product-images/products/cashmere-turtleneck-sweater/cashmere-turtleneck-sweater.png"",""https://ewebogkmqavqoxloyefq.supabase.co/storage/v1/object/public/product-images/products/cashmere-turtleneck-sweater/cashmere-turtleneck-sweater_onfigure.png""]",false,true,28,W-SWT-CS-005,,"[""cashmere"",""winter"",""cozy"",""luxury""]","[""Cashmere Turtleneck Sweater"",""cashmere"",""winter"",""cozy"",""luxury""]",2025-10-11 11:53:55.274787+00,2025-10-11 11:53:55.274787+00
